"SCHOOL_YEAR","DATA_LEVEL","PUBLIC_OR_INDEPENDENT","DISTRICT_NUMBER","DISTRICT_NAME","MINCODE","SCHOOL_NAME","NUM_OF_SCHOOLS_IN_DATA_LEVEL","TOTAL_CLASSES","CLASSES_WITH_ED_ASSIST","TOTAL_CLASSES_GREATER_30","AVG_CLASS_SIZE_K","AVG_CLASS_SIZE_1_3","AVG_CLASS_SIZE_4_7","AVG_CLASS_SIZE_8_12"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","37","2449","626","253","    18.8","    20.9","    27.6","    25.8"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","38","2649","742","89","    20.3","    22.3","    27.0","    23.4"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","44","2935","973","42","    20.1","    22.5","    27.1","    21.6"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","40","2689","1006","7","    20.6","    22.4","    27.3","    22.7"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","40","2613","890","17","    20.9","    22.6","    27.6","    23.8"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","41","2690","984","9","    21.1","    22.8","    28.1","    23.9"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","40","2961","1045","5","    17.9","    20.8","    26.3","    20.7"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","035","Langley","","","40","3414","1186","10","    17.9","    20.5","    26.0","    21.6"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","118","5282","1104","351","    17.9","    20.6","    25.7","    26.6"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","118","5399","1570","430","    17.8","    20.7","    25.7","    26.6"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","119","5536","1806","452","    18.2","    20.7","    25.5","    26.4"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","118","5556","1914","444","    18.2","    20.7","    25.5","    26.7"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","119","5853","2080","350","    18.7","    20.8","    25.8","    26.4"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","119","6084","2136","376","    18.6","    20.8","    26.1","    26.4"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","118","6752","2248","71","    18.9","    21.0","    25.7","    23.4"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","126","7097","2416","90","    19.5","    21.4","    26.4","    22.7"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","120","7011","2254","109","    19.3","    21.5","    26.6","    23.5"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","120","7037","2348","120","    19.6","    21.9","    27.0","    23.7"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","120","8216","2840","106","    19.6","    22.0","    27.2","    20.2"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","121","7261","2859","100","    18.2","    20.3","    25.0","    22.7"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","036","Surrey","","","122","8148","4127","168","    18.0","    20.2","    25.0","    22.4"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","33","2304","503","160","    18.0","    20.9","    27.6","    25.5"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","33","2367","583","151","    17.4","    21.0","    26.8","    24.7"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","33","2219","376","183","    18.6","    20.9","    27.1","    25.8"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2170","450","253","    17.8","    20.9","    27.2","    26.5"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2165","342","216","    17.2","    20.8","    27.1","    26.4"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2148","581","204","    18.9","    20.8","    26.8","    26.5"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2555","877","120","    18.9","    21.1","    26.2","    22.9"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2570","745","118","    19.4","    22.2","    27.3","    22.5"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2465","824","99","    20.1","    21.6","    26.6","    22.9"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2623","778","116","    20.1","    22.3","    27.6","    22.1"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2671","829","107","    19.5","    22.2","    27.1","    21.8"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2655","802","65","    18.1","    20.8","    26.2","    21.1"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","037","Delta","","","31","2217","616","86","    18.3","    20.3","    25.5","    25.5"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3112","759","386","    18.2","    20.3","    27.4","    25.7"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3207","783","253","    18.4","    19.7","    26.7","    25.0"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3195","660","223","    18.6","    20.8","    27.1","    25.1"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3095","660","213","    18.6","    21.0","    27.8","    26.4"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3186","636","240","    17.8","    20.9","    27.8","    25.9"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3066","722","140","    17.9","    20.7","    27.3","    26.1"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","2783","666","76","    20.2","    22.2","    27.4","    25.7"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","49","3063","544","45","    20.0","    22.4","    27.2","    23.9"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3128","381","34","    20.0","    22.1","    27.4","    23.8"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3001","407","29","    19.9","    22.2","    27.5","    24.3"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3678","528","54","    16.1","    12.1","    14.4","    23.7"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","4139","846","14","    14.6","    10.8","    12.7","    22.6"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","038","Richmond","","","48","3541","819","7","    18.1","    19.8","    24.6","    22.3"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","109","8123","952","590","    17.9","    20.8","    27.1","    25.2"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","109","8226","953","436","    18.0","    20.8","    27.3","    24.8"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","109","7957","1032","478","    18.1","    20.9","    27.3","    25.6"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","109","8655","1263","275","    18.5","    20.8","    27.3","    24.8"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","109","8328","1068","340","    19.0","    20.9","    27.0","    25.2"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","110","8264","1286","212","    18.4","    20.7","    26.8","    25.2"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","110","9778","1682","458","    18.1","    21.2","    25.7","    22.5"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","110","8397","1580","87","    18.0","    21.9","    26.4","    24.2"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","111","8410","1608","102","    18.8","    21.4","    26.2","    23.7"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","110","8165","1675","93","    19.4","    21.7","    26.1","    23.8"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","108","8457","1506","171","    19.5","    21.5","    26.5","    23.9"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","108","9007","1821","99","    17.9","    19.7","    25.3","    22.5"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","039","Vancouver","","","107","8913","1804","104","    18.3","    19.8","    25.2","    22.9"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","518","148","11","    16.7","    20.8","    26.5","    25.1"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","531","173","3","    17.8","    20.8","    26.4","    25.0"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","528","181","4","    18.2","    20.8","    26.2","    24.9"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","523","103","1","    18.4","    20.7","    26.6","    25.1"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","523","85","","    18.2","    20.8","    27.2","    24.5"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","514","90","3","    18.8","    20.5","    25.4","    25.3"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","522","212","3","    20.5","    22.0","    26.1","    24.1"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","514","146","4","    19.2","    22.5","    25.8","    24.5"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","11","511","195","8","    19.6","    21.9","    26.0","    24.9"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","11","537","207","11","    21.1","    22.5","    26.3","    24.1"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","517","176","8","    21.2","    22.8","    26.7","    24.4"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","579","125","21","    18.1","    20.0","    25.8","    23.0"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","040","New Westminster","","","12","785","194","19","    18.6","    20.3","    25.6","    23.3"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","48","3384","396","96","    17.6","    20.2","    27.1","    25.3"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","48","3383","400","69","    18.0","    20.7","    27.0","    25.3"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","48","3427","510","58","    17.6","    20.8","    26.7","    25.3"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","48","3453","452","40","    18.0","    20.8","    26.8","    25.4"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3373","426","40","    18.7","    20.8","    26.6","    25.4"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3296","500","40","    18.5","    20.7","    26.4","    25.8"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3488","640","34","    18.9","    21.0","    26.0","    24.4"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","56","3313","684","39","    19.4","    21.2","    26.5","    24.8"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3249","653","34","    18.8","    21.2","    25.9","    25.3"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3433","630","41","    19.2","    21.4","    25.9","    24.8"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3430","612","34","    19.2","    21.1","    26.1","    24.6"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3599","627","31","    18.0","    20.0","    25.8","    23.1"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","041","Burnaby","","","49","3566","622","32","    17.6","    20.0","    25.4","    23.0"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","28","2233","438","42","    17.7","    21.0","    25.7","    23.5"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","28","2376","498","90","    18.4","    21.0","    25.4","    24.4"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","28","2113","554","127","    17.7","    20.8","    25.9","    25.7"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","28","2252","551","101","    18.5","    20.8","    26.2","    24.8"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","26","2173","557","116","    17.7","    20.6","    25.7","    25.3"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","26","2030","569","171","    18.3","    20.3","    26.3","    25.9"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","2265","695","20","    18.2","    20.3","    25.5","    23.1"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","2392","740","47","    19.3","    21.5","    26.0","    22.1"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","2115","690","89","    20.1","    22.0","    26.5","    23.7"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","1769","676","61","    19.9","    22.2","    26.7","    25.8"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","1904","701","68","    19.9","    22.0","    26.9","    25.9"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","27","2123","736","15","    18.6","    20.3","    24.3","    23.1"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","","","28","2050","833","19","    18.6","    20.4","    24.1","    23.4"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","71","3914","569","44","    17.9","    20.5","    26.5","    25.5"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","66","3387","601","57","    18.0","    21.0","    27.4","    25.8"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","66","3615","648","50","    18.1","    21.0","    26.7","    26.1"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","66","4005","906","57","    18.2","    21.0","    27.7","    26.9"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","66","2906","627","61","    18.5","    21.0","    28.0","    26.8"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","66","2977","607","55","    19.0","    20.8","    28.0","    26.4"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","67","2983","613","59","    18.8","    21.1","    27.6","    25.7"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","67","3096","636","55","    19.7","    22.0","    28.7","    25.8"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","68","2843","617","66","    20.6","    22.7","    28.7","    26.8"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","68","2968","635","59","    20.3","    22.4","    28.6","    26.2"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","68","2893","713","59","    20.2","    22.2","    28.3","    26.0"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","68","3309","858","56","    18.3","    20.7","    24.8","    24.4"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","","","69","3251","850","48","    18.4","    20.3","    24.7","    24.2"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","35","2101","186","214","    17.0","    20.8","    26.5","    25.7"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","35","2237","439","132","    18.4","    20.7","    26.5","    24.7"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","35","2469","552","146","    17.3","    20.9","    26.3","    25.2"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","35","2279","569","195","    18.4","    20.9","    27.1","    26.0"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","32","2150","539","398","    18.9","    21.0","    27.7","    26.9"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2158","538","278","    18.9","    20.9","    27.4","    26.4"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2151","618","62","    18.8","    21.8","    27.1","    25.1"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2325","662","69","    19.2","    22.1","    27.2","    24.5"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2328","702","101","    19.2","    22.3","    27.1","    24.2"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2599","697","141","    20.0","    21.9","    27.3","    24.1"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2586","679","116","    19.4","    21.7","    26.5","    23.7"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2627","901","47","    18.7","    20.4","    24.8","    23.4"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","044","North Vancouver","","","31","2685","794","68","    18.2","    20.4","    25.1","    23.5"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1158","257","27","    13.3","    20.8","    25.6","    24.9"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1156","265","27","    18.3","    20.8","    25.5","    24.6"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1159","279","31","    17.8","    21.0","    25.5","    24.7"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1344","","64","    18.7","    21.0","    25.9","    25.6"
"2010/2011","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1188","276","76","    18.6","    20.9","    26.5","    25.5"
"2011/2012","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1237","172","59","    18.6","    20.8","    26.5","    25.3"
"2012/2013","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1147","247","3","    17.8","    20.8","    26.4","    24.5"
"2013/2014","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1164","236","11","    18.5","    20.7","    26.1","    25.1"
"2014/2015","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1192","233","11","    18.9","    21.7","    26.6","    25.1"
"2015/2016","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1273","273","16","    19.0","    21.7","    26.6","    25.2"
"2016/2017","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1259","271","20","    19.0","    21.6","    27.5","    24.8"
"2017/2018","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1327","275","18","    18.0","    20.8","    27.1","    24.0"
"2018/2019","DISTRICT LEVEL","BC PUBLIC SCHOOL","045","West Vancouver","","","17","1291","268","8","    17.5","    20.5","    27.1","    24.5"
"2006/2007","DISTRICT LEVEL","BC PUBLIC SCHOOL","046","Sunshine Coast","","","13","454","144","7","    13.3","    19.9","    24.8","    23.6"
"2007/2008","DISTRICT LEVEL","BC PUBLIC SCHOOL","046","Sunshine Coast","","","13","454","141","17","    16.0","    20.3","    24.6","    24.1"
"2008/2009","DISTRICT LEVEL","BC PUBLIC SCHOOL","046","Sunshine Coast","","","13","399","156","14","    17.2","    20.3","    24.9","    25.7"
"2009/2010","DISTRICT LEVEL","BC PUBLIC SCHOOL","046","Sunshine Coast","","","13","414","150","5","    14.8","    20.0","    25.2","    24.5"
